lankomumas_proc,savarankisko_mokymosi_val,streso_lygis,darbo_valandos,miego_valandos,socialiniu_tinklu_val,studiju_vidurkis,dvyliktos_klases_vidurkis,brandos_egzaminas_1,brandos_egzaminas_2,brandos_egzaminas_3,finansinis_stresas,ketinu_mesti_studijas,rizika
85.0,26.0,5.0,0.0,10.0,4.0,6.0,8.0,68.0,80.0,45.0,5.0,1.0,0
100.0,24.0,5.0,30.0,5.0,2.0,10.0,5.0,17.0,58.0,98.0,3.0,1.0,0
0.0,0.0,2.0,40.0,7.0,6.0,9.0,8.7,71.0,86.0,0.0,2.0,1.0,0
100.0,15.0,3.0,0.0,7.0,3.5,9.0,9.0,56.0,77.0,83.0,4.0,2.0,0
0.7,20.0,2.0,0.0,6.0,2.0,8.0,9.0,75.0,60.0,83.0,4.0,4.0,1
0.6,12.0,4.0,0.0,8.0,4.0,9.0,6.6,83.0,52.0,72.0,5.0,3.0,0
90.0,19.0,3.0,20.0,6.0,5.0,8.0,8.0,20.0,45.0,79.0,3.0,1.0,0
50.0,31.0,2.0,0.0,8.0,5.0,8.0,7.0,0.0,78.0,89.0,1.0,3.0,0
50.0,30.0,4.0,38.0,6.0,5.0,9.0,6.6,60.0,45.0,55.0,4.0,1.0,0
95.0,27.0,2.0,15.0,7.0,3.0,8.0,8.2,65.0,61.0,76.0,1.0,1.0,0
72.0,24.0,2.0,20.0,7.0,4.183385579937304,8.0,8.3,44.0,40.0,86.0,3.0,2.0,0
85.0,24.0,3.0,40.0,9.0,4.0,8.0,8.82,43.0,77.0,30.0,5.0,1.0,0
95.0,10.0,3.0,0.0,7.0,1.0,6.0,6.9,89.0,34.0,38.0,3.0,1.0,0
100.0,1.0,1.0,0.0,7.0,4.0,9.0,8.0,30.0,53.0,78.0,1.0,1.0,0
